temp;salt_press;sat_liquid;sat_vapor
205;1724.3;0.001164;0.11508
210;1907.7;0.001173;0.10429
215;2105.9;0.001181;0.094680
220;2319.6;0.001190;0.086094
225;2549.7;0.001199;0.078405
230;2797.1;0.001209;0.071505
235;3062.6;0.001219;0.065300
240;3347.0;0.001229;0.059707
245;3651.2;0.001240;0.054656
250;3976.2;0.001252;0.050085
255;4322.9;0.001263;0.045941
260;4692.3;0.001276;0.042175
265;5085.3;0.001289;0.038748
270;5503.0;0.001303;0.035622
275;5946.4;0.001317;0.032767
280;6416.6;0.001333;0.030153
285;6914.6;0.001349;0.027756
290;7441.8;0.001366;0.025554
295;7999.0;0.001384;0.023528
300;8587.9;0.001404;0.021659
305;9209.4;0.001425;0.019932
310;9865.0;0.001447;0.018333
315;10556;0.001472;0.016849
320;11284;0.001499;0.015470
325;12051;0.001528;0.014183
330;12858;0.001560;0.012979
335;13707;0.001597;0.011848
340;14601;0.001638;0.010783
345;15541;0.001685;0.009772
350;16529;0.001741;0.008806
355;17570;0.001808;0.007872
360;18666;0.001895;0.006950
365;19822;0.002015;0.006009
370;21044;0.002217;0.004953
373.95;22064;0.003106;0.003106
